prod,prod_lagged4,L,Lfix,vorig,uorig,worig
98.07192,98.73694,1,1,0.0090196,0.0746506,27.97958
97.07117,98.45786,1,1,0.0085857,0.0755823,27.4768
95.84495,98.00041,1,1,0.0081162,0.0769296,26.93432
94.62226,97.3975,1,1,0.0076569,0.0786445,27.06099
93.45339,96.67,1,1,0.0073033,0.0806864,27.32583
92.73676,95.88086,0.9998657,0.9998657,0.0071482,0.0828724,27.57915
92.89133,95.14362,0.999039,0.999039,0.0072064,0.0849815,27.86885
93.70801,94.52821,0.9975011,0.9975011,0.0074217,0.0867177,28.43069
94.8951,94.17767,0.9951663,0.9951663,0.0077137,0.0877657,29.18858
96.19357,94.21849,0.9922735,0.9922735,0.0080211,0.0879376,29.99946
97.31145,94.59761,0.9897164,0.9897164,0.0083671,0.0873369,30.69513
98.14897,95.21558,0.9877215,0.9877215,0.0087713,0.0862495,31.46046
98.73876,95.96303,0.9862112,0.9862112,0.0092646,0.0850736,32.23353
99.14268,96.71624,0.9850295,0.9850295,0.0098828,0.084017,33.11792
99.40273,97.40226,0.9840454,0.9840454,0.0106133,0.0831043,34.0636
99.45731,97.99181,0.9831825,0.9831825,0.0113564,0.0823163,34.3844
99.3946,98.47754,0.9824104,0.9824104,0.0120098,0.0816519,34.42125
99.30636,98.8623,0.9817268,0.9817268,0.0125284,0.0810926,34.45398
99.30145,99.13736,0.9811405,0.9811405,0.0129384,0.0806662,34.66631
99.42989,99.34077,0.98066,0.98066,0.0132744,0.0803001,35.23524
99.7082,99.51781,0.9802877,0.9802877,0.0135879,0.0798038,35.97212
100.1421,99.71895,0.9800184,0.9800184,0.0139156,0.0789846,37.19931
100.8117,99.97632,0.9798406,0.9798406,0.0143023,0.0779169,38.94033
101.6934,100.3056,0.9797385,0.9797385,0.014778,0.0767883,41.21778
102.5962,100.7092,0.979695,0.979695,0.0153526,0.075897,43.32471
103.2629,101.1949,0.9796932,0.9796932,0.0159539,0.0753424,43.91765
103.5698,101.7349,0.9797187,0.9797187,0.0165253,0.0750405,41.91346
103.5547,102.2531,0.9797602,0.9797602,0.0170124,0.074929,39.44234
103.2415,102.6568,0.9798092,0.9798092,0.0173732,0.074975,36.98082
102.7576,102.8923,0.9798607,0.9798607,0.0176053,0.0751442,35.04981
102.2103,102.9567,0.9799121,0.9799121,0.0177054,0.0755053,33.46448
101.6105,102.8573,0.9799625,0.9799625,0.0176797,0.0761189,32.23221
101.0098,102.6382,0.9800124,0.9800124,0.0175895,0.0768918,32.23221
