prod,prod_lagged4,L,Lfix,vorig,uorig,worig,prodfixed
98.79557,98.73694,1,1,0.0090196,0.0746506,25.80437,98.79557
98.07192,98.45786,1,1,0.0085857,0.0755823,24.40525,98.79557
97.07117,98.00041,1,1,0.0081162,0.0769296,23.83425,98.79557
95.84495,97.3975,1,1,0.0076569,0.0786445,25.19693,98.79557
94.62226,96.67,1,1,0.0073033,0.0806864,26.81524,98.79557
93.45339,95.88086,0.9998657,0.9998657,0.0071482,0.0828724,27.97314,98.79557
92.73676,95.14362,0.999039,0.999039,0.0072064,0.0849815,28.73694,98.79557
92.89133,94.52821,0.9975011,0.9975011,0.0074217,0.0867177,29.50855,98.79557
93.70801,94.17767,0.9951663,0.9951663,0.0077137,0.0877657,30.30037,98.79557
94.8951,94.21849,0.9922735,0.9922735,0.0080211,0.0879376,30.84943,98.79557
96.19357,94.59761,0.9897164,0.9897164,0.0083671,0.0873369,30.94082,98.79557
97.31145,95.21558,0.9877215,0.9877215,0.0087713,0.0862495,30.79536,98.79557
98.14897,95.96303,0.9862112,0.9862112,0.0092646,0.0850736,30.53303,98.79557
98.73876,96.71624,0.9850295,0.9850295,0.0098828,0.084017,30.97707,98.79557
99.14268,97.40226,0.9840454,0.9840454,0.0106133,0.0831043,32.65525,98.79557
99.40273,97.99181,0.9831825,0.9831825,0.0113564,0.0823163,33.98418,98.79557
99.45731,98.47754,0.9824104,0.9824104,0.0120098,0.0816519,35.08833,98.79557
99.3946,98.8623,0.9817268,0.9817268,0.0125284,0.0810926,35.89297,98.79557
99.30636,99.13736,0.9811405,0.9811405,0.0129384,0.0806662,36.52227,98.79557
99.30145,99.34077,0.98066,0.98066,0.0132744,0.0803001,37.02249,98.79557
99.42989,99.51781,0.9802877,0.9802877,0.0135879,0.0798038,37.12054,98.79557
99.7082,99.71895,0.9800184,0.9800184,0.0139156,0.0789846,37.48392,98.79557
100.1421,99.97632,0.9798406,0.9798406,0.0143023,0.0779169,38.39778,98.79557
100.8117,100.3056,0.9797385,0.9797385,0.014778,0.0767883,39.94458,98.79557
101.6934,100.7092,0.979695,0.979695,0.0153526,0.075897,41.42423,98.79557
102.5962,101.1949,0.9796932,0.9796932,0.0159539,0.0753424,41.36969,98.79557
103.2629,101.7349,0.9797187,0.9797187,0.0165253,0.0750405,38.76291,98.79557
103.5698,102.2531,0.9797602,0.9797602,0.0170124,0.074929,36.98159,98.79557
103.5547,102.6568,0.9798092,0.9798092,0.0173732,0.074975,35.80281,98.79557
103.2415,102.8923,0.9798607,0.9798607,0.0176053,0.0751442,35.45551,98.79557
102.7576,102.9567,0.9799121,0.9799121,0.0177054,0.0755053,35.35164,98.79557
102.2103,102.8573,0.9799625,0.9799625,0.0176797,0.0761189,35.48008,98.79557
101.6105,102.6382,0.9800124,0.9800124,0.0175895,0.0768918,35.48008,98.79557
