ym,cpiproducer
624,106.64
625,107.37
626,107.90
627,107.95
628,107.35
629,106.05
630,105.58
631,106.23
632,106.61
633,105.78
634,105.05
635,104.79
636,104.96
637,105.68
638,105.26
639,104.93
640,104.57
641,104.55
642,104.53
643,104.82
644,104.71
645,104.34
646,104.13
647,104.37
648,104.65
649,104.78
650,104.74
651,104.58
652,104.56
653,104.61
654,104.69
655,104.58
656,104.20
657,103.47
658,103.15
659,102.14
660,100.89
661,100.96
662,100.84
663,100.80
664,100.87
665,100.82
666,100.45
667,99.83
668,99.39
669,98.71
670,98.32
671,98.09
672,97.56
673,97.56
674,97.50
675,97.74
676,97.86
677,98.09
678,97.98
679,98.07
680,98.30
681,98.59
682,99.03
683,99.90
684,101.35
685,101.74
686,101.70
687,101.48
688,101.21
689,100.81
690,100.89
691,101.35
692,102.03
693,102.14
694,102.04
695,102.09
696,102.52
697,102.95
698,102.91
699,103.04
700,103.34
701,103.37
702,103.85
703,104.32
704,104.62
705,104.26
706,103.53
707,103.03
708,102.92
709,103.02
710,103.38
711,103.68
712,103.79
713,103.50
714,103.50
715,103.74
716,103.80
717,103.56
718,103.41
719,103.70
720,104.08
721,103.74
722,102.82
723,101.93
724,101.96
725,102.48
726,102.71
727,103.22
728,103.42
729,103.01
730,103.09
731,103.90
732,105.05
733,105.91
734,107.04
735,108.06
736,108.65
737,109.22
738,110.28
739,110.86
740,111.27
741,112.43
742,113.23
743,113.21
744,114.40
745,114.95
746,116.70
