ym,minwage,cpi,
617,34560,89.67,
618,34560,90.102,
619,34560,90.707,
620,34560,90.62,
621,34560,90.448,
622,34560,90.534,
623,34560,90.879,
624,36640,91.242,
625,36640,91.588,
626,36640,91.614,
627,36640,91.605,
628,36640,91.769,
629,36640,91.639,
630,36640,91.432,
631,36640,91.855,
632,36640,92.512,
633,36640,92.339,
634,36640,92.011,
635,36640,92.175,
636,38880,92.728,
637,38880,93.038,
638,38880,92.952,
639,38880,92.823,
640,38880,92.823,
641,38880,92.71,
642,38880,92.909,
643,38880,93.238,
644,38880,93.419,
645,38880,93.134,
646,38880,93.116,
647,38880,93.229,
648,41680,93.73,
649,41680,93.98,
650,41680,94.153,
651,41680,94.214,
652,41680,94.369,
653,41680,94.248,
654,41680,94.386,
655,41680,94.551,
656,41680,94.49,
657,41680,94.205,
658,41680,94.015,
659,41680,94.006,
660,44640,94.643,
661,44640,94.587,
662,44640,94.596,
663,44640,94.625,
664,44640,94.89,
665,44640,94.909,
666,44640,95.08,
667,44640,95.213,
668,44640,94.966,
669,44640,94.966,
670,44640,94.786,
671,44640,95.07,
672,48240,95.232,
673,48240,95.64,
674,48240,95.393,
675,48240,95.573,
676,48240,95.63,
677,48240,95.611,
678,48240,95.431,
679,48240,95.677,
680,48240,96.247,
681,48240,96.379,
682,48240,96.237,
683,48240,96.342,
684,51760,97.366,
685,51760,97.632,
686,51760,97.565,
687,51760,97.442,
688,51760,97.546,
689,51760,97.338,
690,51760,97.499,
691,51760,98.058,
692,51760,98.172,
693,51760,98.077,
694,51760,97.347,
695,51760,97.698,
696,60240,98.106,
697,60240,98.855,
698,60240,98.751,
699,60240,98.931,
700,60240,98.979,
701,60240,98.779,
702,60240,98.59,
703,60240,99.462,
704,60240,100.221,
705,60240,100.041,
706,60240,99.33,
707,60240,98.988,
708,66800,98.884,
709,66800,99.311,
710,66800,99.121,
711,66800,99.481,
712,66800,99.652,
713,66800,99.491,
714,66800,99.187,
715,66800,99.425,
716,66800,99.794,
717,66800,100.041,
718,66800,99.481,
719,66800,99.719,
720,68720,100.09,
721,68720,100.16,
722,68720,99.94,
723,68720,99.5,
724,68720,99.44,
725,68720,99.71,
726,68720,99.63,
727,68720,100.19,
728,68720,100.74,
729,68720,100.18,
730,68720,100.09,
731,68720,100.33,
732,69760,101.04,
733,69760,101.58,
734,69760,101.84,
735,69760,101.98,
736,69760,102.05,
737,69760,102.05,
738,69760,102.26,
739,69760,102.75,
740,69760,103.17,
741,69760,103.35,
742,69760,103.87,
743,69760,104.04,
744,73280,104.69,
