ym,nonuC,uC,nonuSERVICE
660,8.038095,2.15314,10.62513
661,7.969014,2.481839,10.51569
662,7.972953,2.50686,10.78066
663,7.667286,2.12486,10.64159
664,7.667394,2.46422,10.32357
665,7.781087,2.567678,10.41462
666,7.711083,2.755603,10.27582
667,8.036302,2.563365,10.63547
668,7.76606,2.337905,10.20656
669,7.443902,2.201767,9.910465
670,7.382421,2.484932,9.749748
671,7.479259,2.441352,9.840861
672,8.045403,2.618559,10.20346
673,8.62147,2.985679,10.38162
674,8.589141,3.070111,10.74247
675,8.238146,2.827771,10.63831
676,7.918422,2.757508,10.15171
677,7.487231,2.257894,9.868977
678,7.699202,2.600112,9.770253
679,8.259055,2.873773,10.07252
680,8.129181,2.730381,10.00644
681,8.063894,2.916395,9.897
682,7.785393,2.562376,9.464088
683,7.497853,2.317739,9.381462
684,7.253695,2.474077,9.943461
685,7.422493,2.46445,9.833928
686,7.509169,2.737459,9.848042
687,7.609437,2.733914,10.19098
688,7.488519,2.374977,9.957705
689,7.129724,2.17159,9.806638
690,7.329673,2.21487,9.494063
691,7.867771,2.397725,9.769325
692,7.365406,2.195288,9.55757
693,7.203499,2.261162,9.267217
694,7.064271,2.475094,8.98072
695,6.851611,2.339765,9.205267
696,7.049218,2.480449,9.376635
697,7.217347,2.499891,9.56606
698,7.300366,2.695932,9.764297
699,7.589137,2.823139,9.816057
700,7.709601,2.755338,9.614354
701,7.82342,2.571398,9.601007
702,8.390661,2.938949,9.547229
703,9.040147,3.172499,10.1071
704,8.281716,2.89073,9.904389
705,8.499518,2.782297,9.841304
706,8.464805,2.866054,9.415516
707,8.122954,2.757232,9.574788
708,8.469946,2.883321,10.20081
709,8.042415,2.979138,10.37537
710,7.377758,2.7306,10.32054
711,7.44929,2.701953,10.52004
712,7.531351,2.706304,10.34549
713,7.50831,2.446574,10.05292
714,7.885479,2.643477,9.867735
715,7.99899,2.118643,9.810726
716,7.758811,2.82614,9.83744
717,7.413897,2.345025,9.832213
718,6.838284,2.141806,9.538698
719,6.987917,2.320921,9.398373
720,7.485456,2.482702,9.882236
721,7.954468,2.763298,10.15246
722,8.33003,2.731635,12.00201
723,8.382839,2.516277,12.51046
724,8.736823,3.28482,12.2792
725,8.947279,3.056468,11.87526
726,8.856824,2.723498,11.79998
727,8.344415,1.890862,11.63491
728,8.645403,2.445421,12.32543
729,8.734534,2.702118,12.07686
730,8.507771,2.505512,11.29646
731,8.611032,2.580732,11.90778
732,8.533405,2.587881,13.011
733,8.165968,2.402269,12.04117
734,8.302785,2.186589,11.27275
735,8.346949,2.139882,10.96481
736,7.789824,2.244928,10.81425
737,7.9891,2.192671,10.67014
738,7.701356,1.938929,10.27871
739,8.284825,1.730056,10.45832
740,7.982484,1.855345,10.00208
741,7.924807,2.024999,9.856339
742,7.183602,1.882347,9.332705
743,7.291403,1.783169,9.053536
744,7.304881,1.937194,9.683041
745,7.362857,1.966465,9.231894
746,6.749245,1.693771,9.344721
747,6.578292,1.760366,9.169601
748,6.209997,1.968286,9.24865
749,6.534606,2.074247,9.155723
750,6.819031,2.164103,8.958813
751,6.666073,1.619203,9.152726
752,6.325593,1.824033,9.361403
753,6.456589,1.876119,9.044698
