ym,indmc,wage_tot_service,hour_service
696,0,3295269.76,171.1926413
697,0,3584638.206,145.1531426
698,0,3168270.395,164.4111957
699,0,3066585.493,163.9533551
700,0,3054143.775,159.6267836
701,0,3086608.375,153.648248
702,0,3298952.41,169.717574
703,0,3145934.485,167.1860563
704,0,3466762.15,140.7031842
705,0,3030334.289,163.0005935
706,0,3017338.515,169.3633437
707,0,3544485.578,157.5790846
708,0,3641225.173,169.9203993
709,0,3493167.805,138.1801503
710,0,3301573.023,157.7875354
711,0,3211518.244,168.9375968
712,0,3189962.944,164.405063
713,0,3217718.862,151.7807933
714,0,3395783.763,174.0724325
715,0,3282677.444,161.0677648
716,0,3590070.262,149.2104221
717,0,3202188.695,162.2519868
718,0,3137967.734,163.0708468
719,0,3708323.559,161.3850739
720,0,3857365.983,154.2296145
721,0,3335905.236,153.5719153
722,0,3411613.808,163.3188428
723,0,3267303.174,152.4247273
724,0,3229160.991,148.3793206
725,0,3261184.064,165.0549278
726,0,3449018.029,171.0230016
727,0,3301993.008,152.5531012
728,0,3661862.362,158.2659282
729,0,3237347.698,147.0923147
730,0,3206068.714,158.9973646
731,0,3832261.913,162.7004486
732,0,3654489.485,153.0654075
733,0,3853693.361,139.7207177
734,0,3569649.15,165.1408659
735,0,3406443.171,165.5270433
736,0,3341447.296,148.3327144
737,0,3374717.889,165.2353978
738,0,3644075.702,165.1290756
739,0,3424598.557,157.798231
740,0,3807480.881,146.67749
741,0,3333422.568,148.0926117
742,0,3323126.943,165.1085186
743,0,4042073.971,169.1575109
744,0,4328683.1,153.1139481
745,0,3613068.427,138.9266786
746,0,3784086.642,157.0056868
747,0,3483831.503,158.9311783
